詞	詞頻	注音	分類
德拉克	14	ㄉㄜˊ ㄌㄚ ㄎㄜˋ	人名-歷史
恩格斯	14	ㄣ ㄍㄜˊ ㄙ	人名-歷史
愛因斯坦	66	ㄞˋ ㄧㄣ ㄙ ㄊㄢˇ	人名-歷史
愛迪生	42	ㄞˋ ㄉㄧˊ ㄕㄥ	人名-歷史
成吉思汗	25	ㄔㄥˊ ㄐㄧˊ ㄙ ㄏㄢˊ	人名-歷史
戚繼光	15	ㄑㄧ ㄐㄧˋ ㄍㄨㄤ	人名-歷史
手塚治虫	18	ㄕㄡˇ ㄓㄨㄥˇ ㄓˋ ㄏㄨㄟˇ	人名-歷史
托爾斯泰	28	ㄊㄨㄛ ㄦˇ ㄙ ㄊㄞˋ	人名-歷史
拉斐爾	13	ㄌㄚ ㄈㄟˇ ㄦˇ	人名-歷史
摩西	16	ㄇㄛˊ ㄒㄧ	人名-歷史
文天祥	14	ㄨㄣˊ ㄊㄧㄢ ㄒㄧㄤˊ	人名-歷史
施琅	13	ㄕ ㄌㄤˊ	人名-歷史
晏嬰	15	ㄧㄢˋ ㄧㄥ	人名-歷史
晏子	14	ㄧㄢˋ ㄗˇ	人名-歷史
普希金	24	ㄆㄨˇ ㄒㄧ ㄐㄧㄣ	人名-歷史
曹操	35	ㄘㄠˊ ㄘㄠ	人名-歷史
曹植	12	ㄘㄠˊ ㄓˊ	人名-歷史
曹雪芹	32	ㄘㄠˊ ㄒㄩㄝˇ ㄑㄧㄣˊ	人名-歷史
